	time	title	summary	link	source
0	1488040452	['more', 'than', 'number', 'firefighters', 'tackle', 'dangerous', 'blaze', 'at', 'block', 'of', 'flats', 'above', 'tesco', 'express']	['more', 'than', 'number', 'firefighters', 'tackled', 'a', 'severe', 'blaze', 'that', 'tore', 'through', 'an', 'apartment', 'block', 'in', 'a', 'busy', 'shopping', 'area', 'today', 'smoke', 'was', 'seen', 'billowing', 'from', 'a', 'fourth', 'floor', 'flat', 'above', 'a', 'tesco', 'express', 'store', 'in', 'gunwharf', 'quays', 'portsmouth', 'hants', 'a', 'spokesman', 'for', 'hampshire', 'fire', 'and', 'rescue', 'service', 'said', 'nine', 'fire', 'engines', 'were', 'in', 'attendance', 'with', '…']	https://www.thesun.co.uk/news/2954603/more-than-40-firefighters-tackle-dangerous-blaze-at-block-of-flats-above-tesco-express/	SunUK
1	1488040324	['british', 'airways', 'boss', 'defends', 'airline', 'after', 'customer', 'backlash', 'over', 'in', 'flight', 'food', 'and', 'drink', 'prices', 'sparked', 'by', 'scrapping', 'of', 'free', 'food', 'service']	['british', 'airways', 'has', 'hit', 'back', 'after', 'a', 'customer', 'backlash', 'over', 'in', 'flight', 'food', 'and', 'drink', 'prices', 'sparked', 'by', 'the', 'scrapping', 'of', 'the', 'airlines', 'free', 'food', 'service', 'ba', 'now', 'flogs', 'marks', 'and', 'spencers', 'sandwiches', 'on', 'flights', 'as', 'well', 'as', 'charging', 'for', 'tea', 'coffee', 'and', 'booze', 'prompting', 'comparisons', 'with', 'rivals', 'ryanair', 'and', 'easyjet', 'but', 'chief', 'executive', 'willie', 'walsh', '…']	https://www.thesun.co.uk/news/2954534/british-airways-boss-defends-airline-after-customer-backlash-over-in-flight-food-and-drink-prices-sparked-by-scrapping-of-free-food-service/	SunUK
2	1488038689	['storm', 'doris', 'dramatic', 'dashcam', 'footage', 'shows', 'moment', 'number', 'tree', 'pierced', 'bmw', 'windscreen', 'trapping', 'driver', 'after', 'being', 'blown', 'down']	['dramatic', 'dashcam', 'footage', 'shows', 'the', 'moment', 'a', 'number', 'tree', 'crashes', 'through', 'a', 'bmws', 'windscreen', 'trapping', 'the', 'driver', 'during', 'storm', 'doris', 'sarah', 'robb', 'number', 'had', 'a', 'miracle', 'escape', 'when', 'the', 'branch', 'missed', 'her', 'by', 'inches', 'as', 'britain', 'was', 'battered', 'by', 'winds', 'of', 'up', 'to', 'number', 'on', 'thursday', 'swns', 'south', 'west', 'news', 'service', 'dramatic', 'footage', 'captured', 'on', '…']	https://www.thesun.co.uk/news/2954046/storm-doris-tree-driver/	SunUK
3	1488037996	['five', 'teens', 'accused', 'of', 'terror', 'offences', 'amid', 'fears', 'they', 'were', 'planning', 'to', 'join', 'isis']	['five', 'teens', 'have', 'been', 'accused', 'of', 'terror', 'offences', 'amid', 'fears', 'they', 'were', 'plotting', 'to', 'join', 'isis', 'the', 'youngsters', '–', 'one', 'aged', 'just', 'number', '–', 'were', 'arrested', 'in', 'a', 'series', 'of', 'raids', 'across', 'london', 'officers', 'refused', 'to', 'confirm', 'details', 'of', 'the', 'plot', 'but', 'said', 'the', 'arrests', '“relate', 'to', 'plans', 'to', 'travel', 'to', 'join', 'a', 'proscribed', 'organisation”', '…']	https://www.thesun.co.uk/news/2954282/five-teens-accused-of-terror-offences-amid-fears-they-were-planning-to-join-isis/	SunUK
4	1488037492	['chilling', 'final', 'messages', 'of', 'brit', 'tourist', 'found', 'dead', 'in', 'thailand', 'who', 'told', 'pals', 'of', 'a', 'scary', 'guy', 'with', 'the', 'face', 'mask']	['a', 'british', 'holidaymaker', 'found', 'dead', 'in', 'thailand', 'sent', 'a', 'chilling', 'series', 'of', 'final', 'texts', 'to', 'pals', 'warning', 'of', 'a', '“scary', 'guy”', 'with', 'a', '“face', 'mask”', 'andrew', 'apperley', 'from', 'eastbourne', 'was', 'not', 'heard', 'from', 'since', 'he', 'set', 'out', 'for', 'a', 'party', 'on', 'february', 'number', 'and', 'was', 'later', 'found', 'dead', 'it', 'has', 'now', 'emerged', 'that', 'he', 'sent', '…']	https://www.thesun.co.uk/news/2954135/chilling-final-messages-of-brit-tourist-found-dead-in-thailand-who-told-pals-of-a-scary-guy-with-the-face-mask/	SunUK
5	1488036914	['what', 'conspiracy', 'theories', 'did', 'max', 'spiers', 'believe', 'in', 'and', 'what', 'are', 'dulce', 'base', 'and', 'the', 'fourth', 'reich', 'heres', 'what', 'we', 'know']	['conspiracy', 'theorist', 'max', 'spiers', 'was', 'found', 'dead', 'abroad', 'just', 'days', 'after', 'asking', 'his', 'mum', 'to', 'investigate', 'if', 'anything', 'happened', 'to', 'him', 'the', 'number', 'year', 'old', 'from', 'canterbury', 'was', 'discovered', 'on', 'the', 'sofa', 'at', 'a', 'friends', 'house', 'in', 'poland', 'where', 'he', 'had', 'gone', 'to', 'give', 'a', 'talk', 'on', 'conspiracy', 'theories', '–', 'that', 'friend', 'is', 'now', 'being', 'questioned', 'by', '…']	https://www.thesun.co.uk/news/1998060/max-spiers-conspiracy-theories-dulce-base-fourth-reich-ufo/	SunUK
6	1488036532	['benefits', 'cheat', 'with', 'no', 'riff', 'raff', 'sign', 'outside', 'her', 'luxury', 'surrey', 'home', 'swindled', 'number', 'by', 'hiding', 'her', 'marriage', '–', 'and', 'splashed', 'cash', 'on', 'fast', 'cars', 'hot', 'tubs', 'and', 'jewellery']	['a', 'benefits', 'cheat', 'with', 'a', '“no', 'riff', 'raff”', 'sign', 'outside', 'her', 'luxury', 'home', 'hid', 'her', 'marriage', 'to', 'swindle', 'taxpayers', 'out', 'of', 'more', 'than', 'number', 'stephanie', 'zeelie', 'number', 'dodged', 'prison', 'after', 'sponging', 'off', 'the', 'state', '–', 'whilst', 'splashing', 'cash', 'on', 'fast', 'cars', 'hot', 'tubs', 'and', 'expensive', 'jewellery', 'zeelie', 'claimed', 'housing', 'benefit', 'council', 'tax', 'benefit', 'and', 'other', '…']	https://www.thesun.co.uk/news/2954149/benefits-cheat-surrey-100k/	SunUK
7	1488035375	['girlfriend', 'of', 'brit', 'ufo', 'conspiracy', 'theorist', 'max', 'spiers', 'who', 'died', 'after', 'throwing', 'up', 'two', 'litres', 'of', 'black', 'liquid', 'to', 'be', 'quizzed', 'by', 'cops']	['the', 'suspected', 'girlfriend', 'of', 'a', 'brit', 'ufo', 'conspiracy', 'theorist', 'who', 'threw', 'up', 'two', 'litres', 'of', 'black', 'fluid', 'before', 'dying', 'has', 'been', 'quizzed', 'by', 'cops', 'max', 'spiers', 'was', 'found', 'dead', 'on', 'monika', 'duvals', 'sofa', 'in', 'july', 'number', '–', 'just', 'days', 'before', 'he', 'was', 'due', 'to', 'speak', 'at', 'a', 'conspiracy', 'theory', 'conference', 'in', 'poland', 'the', 'number', 'year', 'old', 'who', 'sought', 'to', '…']	https://www.thesun.co.uk/news/2953722/max-spiers-brit-ufo-monika-duval/	SunUK
8	1488034599	['mum', 'of', 'four', 'charged', 'over', 'the', 'death', 'of', 'dexter', 'neal', 'number', 'who', 'was', 'attacked', 'by', 'a', 'dog', 'in', 'essex', 'home']	['a', 'mum', 'of', 'four', 'has', 'been', 'charged', 'over', 'the', 'death', 'of', 'three', 'year', 'old', 'dexter', 'neal', 'fatally', 'attacked', 'by', 'a', 'dog', 'in', 'essex', 'jade', 'dunne', 'number', 'has', 'been', 'charged', 'with', 'owning', 'a', 'dog', 'dangerously', 'out', 'of', 'control', 'that', 'resulted', 'in', 'the', 'death', 'of', 'the', 'youngster', 'essex', 'police', 'said', 'dexter', 'was', 'bitten', 'at', 'dunnes', 'home', 'in', 'halstead', 'essex', 'in', 'august', 'number', '…']	https://www.thesun.co.uk/news/2954154/mum-of-four-charged-with-owning-a-dog-dangerously-out-of-control-resulting-in-death-of-three-year-old-dexter-neal/	SunUK
9	1488034338	['shocking', 'pictures', 'show', 'baby', 'seat', 'among', 'mangled', 'wreckage', 'of', 'van', 'as', 'young', 'toddler', 'miraculously', 'escapes', 'horrific', 'lorry', 'crash']	['gut', 'wrenching', 'photos', 'show', 'the', 'aftermath', 'of', 'a', 'horrific', 'crash', 'in', 'which', 'a', 'toddler', 'miraculously', 'managed', 'to', 'survive', 'the', 'young', 'girl', 'whose', 'exact', 'age', 'has', 'not', 'been', 'disclosed', 'was', 'a', 'passenger', 'in', 'the', 'white', 'van', 'that', 'bore', 'the', 'brunt', 'of', 'a', 'violent', 'collision', 'with', 'the', 'back', 'of', 'a', 'lorry', 'the', 'vans', 'windscreen', 'was', 'shattered', 'on', 'impact', '…']	https://www.thesun.co.uk/news/2954101/shocking-pictures-show-baby-seat-among-mangled-wreckage-of-van-as-young-toddler-miraculously-survives-horrific-lorry-crash/	SunUK
