ArticleID	time	title	summary	link	source	StoryID
0	1488034537	labour must do better under corbyn says watson	the deputy leader says now is not the time to change leaders despite a recent by election loss	http://www.bbc.co.uk/news/uk-politics-39090327	BBCNewsUK	263
1	1488036759	woman charged after dexter neal dog death	a number year old is accused in connection with the death of three year old dexter neal last year	http://www.bbc.co.uk/news/uk-england-essex-39091367	BBCNewsUK	269
2	1488033058	blaze at quays flat in	firefighters are battling a fire in a block of flats near the quays shopping outlet	http://www.bbc.co.uk/news/uk-england-hampshire-39089486	BBCNewsUK	275
3	1488021236	appeal after girl number hit by car on birmingham pavement	footage is released of the moment a number year old girl is hit as she walks with her mother	http://www.bbc.co.uk/news/uk-england-birmingham-39089295	BBCNewsUK	273
4	1488031361	london teens remanded in custody on terror offences	the teenagers aged between number and number face charges including preparation of terrorist acts	http://www.bbc.co.uk/news/uk-england-london-39089403	BBCNewsUK	264
5	1488027953	car buyers should have long hard think about diesel	the transport secretary suggests drivers should try to buy the least polluting vehicles possible	http://www.bbc.co.uk/news/uk-39088631	BBCNewsUK	279
6	1488034766	evicted squatters posed security risk to queen	about number people were evicted from a mansion metres away from buckingham palace in a pre dawn raid	http://www.bbc.co.uk/news/uk-england-london-39089405	BBCNewsUK	285
7	1488035047	london mayor sadiq khan not accusing of being racists	london mayor sadiq khan says he was not accusing the of being racists or bigots	http://www.bbc.co.uk/news/uk-scotland-scotland-politics-39089604	BBCNewsUK	266
8	1488023981	three face slavery charges after nuclear bunker cannabis find	three men appear in court following cannabis plant discovery in former nuclear bunker	http://www.bbc.co.uk/news/uk-england-wiltshire-39089433	BBCNewsUK	277
9	1488028307	labours watson party has to do better	labours deputy leader tom watson says the party has to do better and needs to deal with the issues that divide us	http://www.bbc.co.uk/news/uk-scotland-scotland-politics-39090744	BBCNewsUK	263
10	1488028477	david miliband labours move to the left is a mistake	former foreign secretary says party is further from power than at any time in last number years because of lack of miliband has said the labour party under jeremy leadership is further from power than at any time in the last number years and has refused to rule out a return to british politics as corbyn made clear he did not believe his leadership contributed to labours defeat in copeland miliband said he was deeply concerned that labour is further from power than at any stage in my lifetime continue reading	https://www.theguardian.com/politics/2017/feb/25/david-miliband-labours-move-to-the-left-is-a-mistake	GuardianUK	262
11	1487948495	revealed thousands of children at london schools breathe toxic air	exclusive number schools nurseries and colleges are in areas where levels of nitrogen dioxide breach eu legal of thousands of children at more than number schools nurseries and colleges in london are being exposed to illegal levels of air pollution that risk causing lifelong health problems the guardian can study identifies number educational institutions where pupils as young as three are being exposed to levels of nitrogen dioxide that breach eu legal limits and which the government accepts are harmful to health continue reading	https://www.theguardian.com/uk-news/2017/feb/24/revealed-thousands-of-children-toxic-air-london-nitrogen-dioxide	GuardianUK	271
12	1487985719	huge cannabis farm was staffed by trafficked vietnamese teenagers	three teenagers were found working in slave like conditions at former nuclear bunker in wiltshire police say a vast marijuana farm discovered in a former nuclear bunker in wiltshire was staffed by trafficked vietnamese teenagers working in slave like conditions police three teenagers the youngest of whom was initially thought to be number and one adult in his number were found working as gardeners inside the number bunker after a midnight raid on wednesday continue reading	https://www.theguardian.com/uk-news/2017/feb/24/huge-cannabis-farm-staffed-trafficked-vietnamese-teenagers	GuardianUK	277
