	time	title	summary	link	source
0	1488300617	sir philip green strikes pension deal with regulator	former owner sir philip green agrees a pound number cash settlement with the pensions regulator	http://www.bbc.co.uk/news/business-39118566	BBCNewsUK
1	1488304079	tunisia families to sue travel company	coroner rejects neglect finding against travel firm as he rules gunman unlawfully killed number britons	http://www.bbc.co.uk/news/uk-39109107	BBCNewsUK
2	1488327524	wild camping ban comes into force	new seasonal by laws come into force which will restrict camping around loch and in the	http://www.bbc.co.uk/news/uk-scotland-tayside-central-39117802	BBCNewsUK
3	1488304319	uk child migrant so hungry she ate grain meant for pigs	obrien was sent from england to australia and suffered sadistic abuse inquiry hears	http://www.bbc.co.uk/news/uk-39116293	BBCNewsUK
4	1488312308	woman who kept pound number note guilty of theft	bailey pocketed the cash after finding it on the floor of a local shop	http://www.bbc.co.uk/news/uk-england-stoke-staffordshire-39119990	BBCNewsUK
5	1488319930	manchester airport car tunnel fire closes runway	normal runway services have resumed after the blaze caused some flights to be delayed or diverted	http://www.bbc.co.uk/news/uk-england-manchester-39122961	BBCNewsUK
6	1488317636	st cathedral admits first woman to choir	st cathedral admits a woman to its professional choir for the first time in its history	http://www.bbc.co.uk/news/uk-england-london-39120557	BBCNewsUK
7	1488291606	south lakes safari zoo report shows hundreds of animal deaths	inspectors found a number of problems at south lakes safari zoo where a keeper was killed in number	http://www.bbc.co.uk/news/uk-england-cumbria-39116282	BBCNewsUK
8	1488326947	to open second tech campus in	the firm is opening a research and development centre at a former ministry of defence site	http://www.bbc.co.uk/news/uk-england-wiltshire-39117982	BBCNewsUK
9	1488311955	government gains injunction to block prison staff industrial action	the government wins a high court injunction blocking industrial action by prison staff	http://www.bbc.co.uk/news/uk-39121720	BBCNewsUK
10	1488328864	and vote transfers light up second ni election tv debate	botched energy scheme remains the hot topic in the second tv debate of the election campaign	http://www.bbc.co.uk/news/uk-northern-ireland-politics-39122150	BBCNewsUK
11	1488322666	car insurance chancellor vows action on compensation rates	philip promises urgent consultation on compensation rates after meeting car insurance bosses	http://www.bbc.co.uk/news/business-39122756	BBCNewsUK
12	1488284336	tunisia attack survivor reacts to coroners conclusion	olivia who was staying at the hotel in responds to the coroners conclusion	http://www.bbc.co.uk/news/uk-39112614	BBCNewsUK
13	1488293880	friends dig up oldest iron age gold in	the three necklaces and a bracelet found in a field are believed to be about number years old	http://www.bbc.co.uk/news/uk-england-stoke-staffordshire-39115392	BBCNewsUK
14	1488240802	devon mud hut woman allergic to modern life	she faces eviction from her mud hut home but says living in a modern house makes her ill	http://www.bbc.co.uk/news/uk-england-devon-38974005	BBCNewsUK
15	1488290585	a look inside new pound number super prison	the first prisoners will be moved to in on tuesday one of the biggest jails in europe	http://www.bbc.co.uk/news/uk-wales-39119243	BBCNewsUK
16	1488316323	art of the brick dc super heroes exhibit comes to london	this is what happens when a lawyer gives up his day job to follow his passion	http://www.bbc.co.uk/news/uk-england-london-39122368	BBCNewsUK
17	1488289472	the free range eggs that arent free range	heres a little explainer as to why were talking eggs today	http://www.bbc.co.uk/news/uk-39113477	BBCNewsUK
18	1488290382	model railway line planned for the highlands	model railway enthusiasts are being sought for an ambitious plan to lay a model railway track along the great glen	http://www.bbc.co.uk/news/uk-scotland-39116615	BBCNewsUK
19	1487324472	channel	coverage of latest developments	http://www.bbc.co.uk/news/10318089	BBCNewsUK
20	1488307062	philip green agrees to pay pound number into pension fund	retail tycoon says deal is part of a cash settlement with pension regulator which has now halted its enforcement action sir philip green has agreed to hand over pound number in cash to rescue the pension scheme and settle one of the biggest city rows of recent deal with the pensions regulator which is likely to help the billionaire keep his knighthood follows the controversial collapse of the department store chain last april which led to the loss of number jobs and left a pension deficit assessed at pound number continue reading	https://www.theguardian.com/business/2017/feb/28/philip-green-agrees-pay-363m-bhs-pension-fund	GuardianUK
21	1488326502	british people unaware of pollution levels in the air they breathe study	citizen science project launched as foe survey indicates population outside london overestimates air across the uk are underestimating the impact of the air pollution crisis in their local areas according to a new two thirds of respondents said they were concerned about the issue of air pollution but only one in number said they thought the air they breathe is bad continue reading	https://www.theguardian.com/environment/2017/mar/01/british-people-unaware-pollution-levels-air-breathe-friends-earth	GuardianUK
22	1488309648	tory pound number inheritance tax cut will worsen north south divide	research shows plans to increase threshold at which tax is paid will overwhelmingly benefit rich families in south east pound number conservative inheritance tax cut will exacerbate the north south divide an mp has warned as figures lay bare the winners and losers of a flagship government inheriting homes in constituencies in london and south east england will gain the lions share of the benefits from the tax cut according to research commissioned by the labour mp reeves continue reading	https://www.theguardian.com/money/2017/feb/28/tory-1bn-inheritance-tax-cut-will-worsen-north-south-divide	GuardianUK
23	1488326502	named worlds best sustainable seafood supermarket	marine stewardship council table has on top with number certified has been named the best sustainable seafood supermarket in the world in a survey published by the marine stewardship council the annual supermarket league table from the international certification body known for its blue rates british supermarkets on their sustainable seafood range more than number fisheries in over number countries are certified to the sustainable standard continue reading	https://www.theguardian.com/business/2017/mar/01/sainsburys-named-worlds-best-sustainable-seafood-supermarket	GuardianUK
24	1488326502	number of pupils failing to get first choice of school expected to rise	offer day could see number missing out as study also finds poorer children less likely to enter best performing secondaries hundreds of thousands of children and their parents will find out on wednesday whether they have got into the secondary school of their choice as figures reveal that an increasing number of parents in england are failing to get a place at their first choice the past number months more than half of towns and counties have seen a fall in the proportion of number year olds receiving a place in the first choice school according to a press association analysis of government data the problem is expected to be worse than last year due to an increase of number applicants continue reading	https://www.theguardian.com/education/2017/mar/01/pupils-first-choice-school-national-offer-day-england-secondaries-teachers	GuardianUK
25	1488309178	jack twitter case part of crusade against	defence lawyer says columnists tweets were part of social media circus in which was a willing sent by to jack monroe allegedly suggesting the food writer supported the defacing of war memorials were not defamatory because the mail online columnist was a professional controversialist merely engaging in robust political debate a court has is suing over the tweets sent in may number arguing that the messages were libellous led to abuse and death threats and caused serious harm to the reputation continue reading	https://www.theguardian.com/uk-news/2017/feb/28/jack-monroes-twitter-case-part-of-crusade-against-katie-hopkins	GuardianUK
26	1488320182	delays at manchester airport after van blazes in tunnel under runway	seven flights diverted to other airports and many scheduled departures and arrivals of the two runways at manchester airport was closed on tuesday evening after a van caught fire in a road tunnel under the landing were moved to the airports second runway to escape the smoke causing delays and diversions a manchester airport spokeswoman said seven flights had been diverted and there were delays for the majority of flights continue reading	https://www.theguardian.com/world/2017/feb/28/delays-at-manchester-airport-after-van-blaze-in-tunnel-under-runway	GuardianUK
27	1488313184	shrugs off brexit fears with massive uk expansion plan	technology group to open new number hectare campus as part of pound number investment and plans to double the technology company is to undergo a dramatic expansion in the uk by opening a new number hectare number acre campus as part of a pound number investment that will support its development of new battery technologies and company led by the billionaire inventor sir james will increase its uk geographical footprint tenfold by developing the campus on a former ministry of defence airfield and intends to at least double its workforce of number over the next few years continue reading	https://www.theguardian.com/technology/2017/feb/28/dyson-shrugs-off-brexit-fears-with-massive-uk-expansion-plan	GuardianUK
28	1488294256	come off it sunshine johnson hits back at john major	foreign secretary attacks prognostications of gloom and opponents of brexit who claim the sky is about to fall in johnson had said he is fed up with people droning and moaning about the risks of brexit saying that he felt like telling those raising concerns such as sir john major to come off it foreign secretary did not name the former prime minister but made clear in a speech to the british chambers of commerce that major was among those who had been warning that the sky was about to fall in continue reading	https://www.theguardian.com/politics/2017/feb/28/come-off-it-sunshine-boris-johnson-hits-back-at-john-major	GuardianUK
29	1488312534	reform of eu carbon trading scheme agreed	member states approve changes including euro number innovation fund to emissions plan for cleaner technology and pollution overhaul of the flagship trading scheme for cutting carbon emissions by european industries has been approved by the member agreement to reform the emissions trading system comes after almost two years of discussions but just two weeks after the european parliament voted in favour of a new directive continue reading	https://www.theguardian.com/environment/2017/feb/28/reform-of-eu-carbon-trading-scheme-agreed	GuardianUK
30	1488307892	poll shows number of european doctors are considering leaving uk	general medical council tells that survey found brexit was a factor for majority of doctors thinking of than half of the doctors from europe working in the uk are considering leaving the country because of brexit a survey by the general medical council indicates related thousands of doctors trained in europe may quit uk after brexit continue reading	https://www.theguardian.com/society/2017/feb/28/gmc-poll-suggests-half-of-european-doctors-are-considering-quitting-uk	GuardianUK
31	1488308895	sturgeon new vote on independence likely if scots get no eu deal	first minister says referendum rerun will be legitimate almost necessary unless special deal is made before article number sturgeon has said a second independence referendum will become a legitimate almost necessary step unless scotland secures a special relationship with the european union before article number is first minister used a speech in edinburgh to accuse mays government of putting the settlement that established the scottish parliament under grave threat by rejecting sturgeons calls for a special deal continue reading	https://www.theguardian.com/uk-news/2017/feb/28/second-independence-referendum-likely-if-scots-get-no-brexit-deal	GuardianUK
