	time	title	summary	link	source
0	1488215237	insurance premiums set to soar after compensation changes	insurers say changes to the calculation of compensation payments for accident victims are crazy	http://www.bbc.co.uk/news/business-39101829	BBCNewsUK
1	1488210988	child sex abuse inquiry public hearings under way	a former child migrant breaks down while talking about british children abused overseas	http://www.bbc.co.uk/news/uk-39099778	BBCNewsUK
2	1488211947	to replace number managers with lower paid staff	deputy managers at the chains express convenience stores will be replaced by shift leaders	http://www.bbc.co.uk/news/business-39104585	BBCNewsUK
3	1488202852	matalan murders andrew saunders researched killing	a man who murdered his ex girlfriend and new partner searched the internet for killing methods a court hears	http://www.bbc.co.uk/news/uk-wales-south-east-wales-39100854	BBCNewsUK
4	1488203359	labour mp gerald dies at number	sir gerald had been an mp since number and became the oldest serving member of the commons in number	http://www.bbc.co.uk/news/uk-politics-39099489	BBCNewsUK
5	1488221572	sir john major attacks unreal brexit vision	the former tory prime minister also says the costs of leaving the eu will be unpalatable	http://www.bbc.co.uk/news/uk-39109408	BBCNewsUK
6	1488204885	number fatal crash driver meets victims girlfriend	driver lewis lost control of his car as he argued with his girlfriend on the phone	http://www.bbc.co.uk/news/uk-england-oxfordshire-39075211	BBCNewsUK
7	1488219906	prison officer charged over inmate death	a prison officer is charged with gross negligence manslaughter over a death at in number	http://www.bbc.co.uk/news/uk-england-beds-bucks-herts-39107673	BBCNewsUK
8	1488178420	game of thrones actor dies	who at number number was tallest man was a basketball player before he became an actor	http://www.bbc.co.uk/news/uk-england-tyne-39095305	BBCNewsUK
9	1488214316	simon burglary man guilty of stealing pound number of gems	simon had been asleep in the house with his family when it was broken into	http://www.bbc.co.uk/news/uk-england-london-39108528	BBCNewsUK
10	1488195499	john says soft coup launched against corbyn	shadow chancellor john says plotters are using dark arts to labours leader	http://www.bbc.co.uk/news/uk-politics-39102703	BBCNewsUK
11	1488218909	who visited before number call will keep their jobs	the officers stopped to buy cups of tea before attending an emergency call to a suicidal woman	http://www.bbc.co.uk/news/uk-england-london-39106557	BBCNewsUK
12	1488200034	boss defends unbranded branches	boss addresses concerns about the of high streets	http://www.bbc.co.uk/news/business-39101678	BBCNewsUK
13	1488154466	secrets why i headhunt people with autism	head of it company explains why he headhunts people with autism	http://www.bbc.co.uk/news/business-39052653	BBCNewsUK
14	1488194930	ex offender gets first job in number years	you can get out of that life says former heroin addict john clarke who is now clean and working	http://www.bbc.co.uk/news/uk-england-devon-39089431	BBCNewsUK
15	1488158424	child sexual abuse victims number years of hate	as the inquiry into child sexual abuse begins its first public hearings one victim tells his story	http://www.bbc.co.uk/news/uk-39099748	BBCNewsUK
16	1488169869	look back at the life of gerald	the labour mp for manchester and father of the house of commons has died aged number	http://www.bbc.co.uk/news/uk-politics-39099622	BBCNewsUK
17	1488112811	former building demolished in	the former home of the original machine which generated winning premium bond numbers is demolished	http://www.bbc.co.uk/news/uk-england-lancashire-39090489	BBCNewsUK
18	1488134584	pupils take part in national robotics competition	teams of schoolchildren are tasked with solving a real world problem with the help of a robot	http://www.bbc.co.uk/news/uk-england-bristol-39098053	BBCNewsUK
19	1487324472	channel	coverage of latest developments	http://www.bbc.co.uk/news/10318089	BBCNewsUK
20	1488218499	john major attacks government over approach to brexit	former pm calls for a little more charm and a lot less cheap rhetoric and says public have been given unrealistic mays government must avoid souring the article number negotiations with cheap rhetoric and give voters an honest warning about the risks of brexit the former prime minister sir john major has the prime minister planning to begin the formal process of leaving the european union within weeks her predecessor used his first big speech on brexit since last years referendum to issue a series of thinly veiled attacks on downing streets approach continue reading	https://www.theguardian.com/politics/2017/feb/27/john-major-attacks-government-over-approach-to-brexit	GuardianUK
