	time	title	summary	link	source
0	1488039522	['woman', 'charged', 'after', 'dexter', 'neal', 'dog', 'death']	['a', 'number', 'year', 'old', 'is', 'accused', 'in', 'connection', 'with', 'the', 'death', 'of', 'three', 'year', 'old', 'dexter', 'neal', 'last', 'year']	http://www.bbc.co.uk/news/uk-england-essex-39091367	BBCNewsUK
1	1488034537	['labour', 'leadership', 'watson', 'says', 'not', 'the', 'time', 'for', 'a', 'contest']	['labours', 'deputy', 'leader', 'says', 'the', 'party', 'must', 'do', 'better', 'after', 'thursdays', 'by', 'election', 'loss']	http://www.bbc.co.uk/news/uk-politics-39090327	BBCNewsUK
2	1488045372	['barclays', 'apologises', 'for', 'cash', 'machine', 'and', 'debit', 'card', 'faults']	['the', 'bank', 'says', 'it', 'has', 'now', 'fixed', 'problems', 'with', 'cash', 'machines', 'in', 'store', 'payments', 'and', 'phone', 'banking']	http://www.bbc.co.uk/news/business-39091309	BBCNewsUK
3	1488038728	['blaze', 'at', 'gunwharf', 'quays', 'flat', 'in', 'portsmouth']	['residents', 'await', 'rescue', 'on', 'roof', 'of', 'block', 'of', 'flats', 'near', 'the', 'gunwharf', 'quays', 'shopping', 'outlet']	http://www.bbc.co.uk/news/uk-england-hampshire-39089486	BBCNewsUK
4	1488021236	['appeal', 'after', 'girl', 'number', 'hit', 'by', 'car', 'on', 'birmingham', 'pavement']	['cctv', 'footage', 'is', 'released', 'of', 'the', 'moment', 'a', 'number', 'year', 'old', 'girl', 'is', 'hit', 'as', 'she', 'walks', 'with', 'her', 'mother']	http://www.bbc.co.uk/news/uk-england-birmingham-39089295	BBCNewsUK
5	1488037738	['london', 'teens', 'remanded', 'in', 'custody', 'on', 'terror', 'offences']	['the', 'teenagers', 'aged', 'between', 'number', 'and', 'number', 'face', 'charges', 'including', 'preparation', 'of', 'terrorist', 'acts']	http://www.bbc.co.uk/news/uk-england-london-39089403	BBCNewsUK
6	1488027953	['car', 'buyers', 'should', 'have', 'long', 'hard', 'think', 'about', 'diesel']	['the', 'transport', 'secretary', 'suggests', 'drivers', 'should', 'try', 'to', 'buy', 'the', 'least', 'polluting', 'vehicles', 'possible']	http://www.bbc.co.uk/news/uk-39088631	BBCNewsUK
7	1488034766	['evicted', 'belgravia', 'squatters', 'posed', 'security', 'risk', 'to', 'queen']	['about', 'number', 'people', 'were', 'evicted', 'from', 'a', 'mansion', 'metres', 'away', 'from', 'buckingham', 'palace', 'in', 'a', 'pre', 'dawn', 'raid']	http://www.bbc.co.uk/news/uk-england-london-39089405	BBCNewsUK
8	1488045932	['scottish', 'labours', 'dugdale', 'pledges', 'to', 'work', 'tirelessly', 'for', 'union']	['scotlands', 'labour', 'leader', 'pledges', 'to', 'work', 'tirelessly', 'for', 'the', 'union', 'in', 'any', 'independence', 'vote']	http://www.bbc.co.uk/news/uk-scotland-scotland-politics-39084245	BBCNewsUK
9	1488023981	['three', 'face', 'slavery', 'charges', 'after', 'nuclear', 'bunker', 'cannabis', 'find']	['three', 'men', 'appear', 'in', 'court', 'following', 'cannabis', 'plant', 'discovery', 'in', 'former', 'nuclear', 'bunker']	http://www.bbc.co.uk/news/uk-england-wiltshire-39089433	BBCNewsUK
