"ID","time","title","summary","link","source","StoryID"
1,1488294509,"trump says revved up economy will fund military boost","president to ask congress for number rise in us defence budget offset by cuts elsewhere","http://www.ft.com/cms/s/0/ad67b532-fd0e-11e6-8d8e-a5e3738f9ae4.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct","FTUK",304
2,1488216018,"trump wants number increase in military spending","funding rise of number to be offset by cuts in non defence budgets","http://www.ft.com/cms/s/0/ad67b532-fd0e-11e6-8d8e-a5e3738f9ae4.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct","FTUK",304
3,1488163560,"mardi gras crash suspect three times the legal limit","the driver of a pickup truck who is said to have ploughed into a crowd at a mardi gras parade in new orleans had a blood alcohol level nearly three times the legal limit the new orleans police department said number was being held at the jail facing charges of first degree negligent vehicular injuring hit and run driving causing serious injury and reckless operation of a vehicle police chief michael harrison said a breath test showed alcohol level was nearly three times the legal limit","https://uk.news.yahoo.com/twelve-critically-hurt-car-ploughs-crowd-orleans-021200068.html","YahooUK",309
4,1488271020,"la la land handed best picture oscar in error instead of moonlight","moonlight has been awarded the best picture oscar after la la land was handed the top gong in error the awards ceremony was plunged into chaos after warren was given the wrong envelope and appeared to hesitate when he saw the card before co presenter announced la la land as the winner producer jordan came forward to inform the cast that moonlight had indeed won showing the envelope as proof after the la la land crew had already given its acceptance speech","https://uk.news.yahoo.com/la-la-land-handed-best-picture-oscar-error-051700519.html","YahooUK",315
5,1488322472,"amazon failure disrupts key us","outage of web services platform hits dozens of businesses across america","http://www.ft.com/cms/s/0/b809c752-fded-11e6-96f8-3700c5664d30.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct","FTUK",329
6,1488221572,"sir john major attacks unreal brexit vision","the former tory prime minister also says the costs of leaving the eu will be unpalatable","http://www.bbc.co.uk/news/uk-39109408","BBCNewsUK",330
7,1488218499,"john major attacks government over approach to brexit","former pm calls for a little more charm and a lot less cheap rhetoric and says public have been given unrealistic mays government must avoid souring the article number negotiations with cheap rhetoric and give voters an honest warning about the risks of brexit the former prime minister sir john major has the prime minister planning to begin the formal process of leaving the european union within weeks her predecessor used his first big speech on brexit since last years referendum to issue a series of thinly veiled attacks on downing streets approach continue reading","https://www.theguardian.com/politics/2017/feb/27/john-major-attacks-government-over-approach-to-brexit","GuardianUK",330
8,1488218460,"brexit john major accuses mays government of misleading the british people","sir john also warned against using parliament as a rubber stamp for ms mays brexit bill","http://www.independent.co.uk/news/uk/politics/brexit-john-major-theresa-may-misleading-british-people-a7602651.html","IndependentUK",330
9,1488217200,"major brexit voters made historic mistake","former prime minister sir john major has said it was a historic mistake that a majority of voters opted to leave the eu","http://news.sky.com/story/major-brexit-voters-made-a-historic-mistake-10784495","SkyNewsUK",330
10,1488218980,"sir john major slams mays cheap rhetoric in bruising brexit warning","sir john major has delivered a withering assessment of brexit warning the uk will become reliant on an unpredictable donald trump risks making the poorest worse off and could unleash europe wide populism marked by bigotry prejudice and intolerance in a speech the former conservative prime minister making a rare intervention in british politics calls the vote a historic mistake warns may of cheap rhetoric and criticises brexit ers for shouting down those who want to remain in the european union sir john says should not keep quiet and toe the line his comments echo those made by fellow ex pm tony blair who two weeks ago waded back into british politics by urging the public to rise up and change their mind on brexit if may tries to quit the eu at any cost both sir john and blair campaigned for remain ahead of the referendum and shared a platform to make the case not to quit the eu in his house address sir john pulls few punches over his fears for the consequences for the uk once article number is triggered and the uk prepares to quit the bloc he says he has been contacted by remain voters of persuasions who are in dismay even despair they do not deserve to be told that they must keep quiet and toe the line he says appearing to encourage protest a popular triumph at the polls even in a referendum does not take away the right to disagree nor the right to express that dissent the particular fear i have is that those most likely to be hurt will be those least able to protect themselves sir john major he says freedom of speech is the will of the people a frequent charge levelled at they people he down their legitimate comment is against all our traditions of tolerance it does nothing to inform and everything to demean and it is time it stopped heres the full passage defending the number this number care no less for our country than the number who voted to leave they are every bit as patriotic but they take a different view of future role in the world and are deeply worried for themselves for their families and for our country they do not deserve to be told that since the decision has been taken they must keep quiet and toe the line a popular triumph at the polls even in a referendum does not take away the right to disagree nor the right to express that dissent freedom of speech is absolute in our country its not arrogant or brazen or elitist or remotely delusional to express concern about our future after brexit nor by doing so is this group undermining the will of the people they are the people shouting down their legitimate comment is against all our traditions of tolerance it does nothing to inform and everything to demean and it is time it stopped sir john goes on to back parliament having the final say on the brexit vote our parliament is not a rubber stamp and should not be treated as if it were he also fears breaking ties with the eu will far more dependent upon the united states and appears to have little confidence in president trump being the salvation arguing the uk is reliant on a president less predictable less reliable and less attuned to our free market and socially liberal instincts than any of his predecessors behind the diplomatic civilities the atmosphere is already sour a little more charm and a lot less cheap rhetoric would do much to protect the interests sir john major he goes on to suggest brexit will diminish the special relationship once we are out of the eu our relationship with the united states will change she needs a close ally inside the eu once outside that can no longer be us against a backdrop of right wing parties in strong positions ahead of elections across europe this year sir john thinks brexit has energised the anti eu anti immigrant nationalists that are growing in number in france germany holland and other european countries he says none of these populist groups is sympathetic to the broadly tolerant and liberal instincts of the british nonetheless their pitch is straightforward if britain sober stable moderate reliable britain with its ancient parliament and anti revolutionary history can break free of a repressive bureaucracy in brussels why then so can anyone it is a potent appeal he adds i caution everyone to be wary of this kind of populism it seems to be a mixture of bigotry prejudice and intolerance it scapegoats minorities it is a poison in any political system destroying civility and decency and understanding here in the uk we should give it short shrift for it is not the people we are nor the country we are sir john fears trade negotiations are already sour and calls for a little more charm and a lot less cheap rhetoric and he is concerned who voted to leave europe to improve their lives will be disappointed if events go badly their expectations will not be met and whole communities will be worse off the particular fear i have is that those most likely to be hurt will be those least able to protect themselves function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a","http://www.huffingtonpost.co.uk/2017/02/27/sir-john-major-brexit-speech_n_15045346.html?utm_hp_ref=uk&ir=UK","HuffPostUK",330
11,1488312840,"treasury concession over car insurance bill rise","outrage within the insurance industry over a looming increase in personal injury has resulted in the promise of a government consultation and new law if needed","http://news.sky.com/story/treasury-concession-on-insurance-bill-rise-amid-industry-outrage-10785686","SkyNewsUK",331
12,1488279497,"insurance to meet uk finance minister over discount rate cut trade body","london chief executives of number of biggest motor and commercial liability insurers will meet finance minister philip on tuesday to ask him to stop this weeks crazy discount rate decision an industry trade body said","http://feeds.reuters.com/~r/reuters/UKDomesticNews/~3/rZU_rSxwokI/uk-insurance-discountrate-idUKKBN16716O","ReutersUK",331
13,1488266400,"crazy compensation bill hike to hit nhs and insurers","insurers have condemned a crazy reform increasing for personal injury victims that they say will lead to steeply higher premiums for motorists as well as landing the nhs with a pound number bill the association of british insurers said the change announced by the ministry of justice was reckless in the extreme and affect number million motor insurance policies between pound number and pound number will be added to the average car insurance policy according to accountants with hikes of up to pound number for younger drivers aged number to number and pound number for motorists aged over number","https://uk.news.yahoo.com/crazy-compensation-bill-hike-hit-085700667.html","YahooUK",331
14,1488215237,"insurance premiums set to soar after compensation changes","insurers say changes to the calculation of compensation payments for accident victims are crazy","http://www.bbc.co.uk/news/business-39101829","BBCNewsUK",331
15,1488184920,"compensation bill hike hits nhs and insurers","insurers have condemned a crazy reform increasing for personal injury victims that they say will lead to steeply higher premiums for motorists as well as landing the nhs with a pound number bill","http://news.sky.com/story/crazy-compensation-bill-hike-to-hit-nhs-and-insurers-10783733","SkyNewsUK",331
16,1488217377,"britons face surge in motor insurance premiums after rule change","london britons will have to pay much more for motor insurance after the government announced new rules on monday that will push up lump sum payments for personal injury claims","http://feeds.reuters.com/~r/reuters/UKDomesticNews/~3/3AeVeIxVkEw/uk-britain-insurance-discountrate-idUKKBN1660T8","ReutersUK",331
17,1488217377,"britons face surge in motor insurance premiums after rule change","by carolyn london britons will have to pay much more for motor insurance after the government announced new rules on monday that will push up lump sum payments for personal injury claims the industrys trade body described the change as crazy as it would lead insurers to further increase motor insurance premiums which jumped number percent last year the personal injury lawyers trade group however said it was long overdue","https://uk.news.yahoo.com/britain-cuts-discount-rate-personal-injury-claims-blow-080401158--finance.html","YahooUK",331
18,1488210988,"child sex abuse inquiry public hearings under way","a former child migrant breaks down while talking about british children abused overseas","http://www.bbc.co.uk/news/uk-39099778","BBCNewsUK",332
19,1488158424,"child sexual abuse victims number years of hate","as the inquiry into child sexual abuse begins its first public hearings one victim tells his story","http://www.bbc.co.uk/news/uk-39099748","BBCNewsUK",332
20,1488207480,"child abuse inquiry in email addresses blunder","the email addresses of people who registered to a child abuse victims forum have been shared with others in a blunder by the independent inquiry into child sex abuse","http://news.sky.com/story/child-abuse-inquiry-in-email-addresses-blunder-10784228","SkyNewsUK",332
21,1488210527,"three years on child sex abuse inquiry starts hearings","london inquiry into historical child sex abuse scandals some involving celebrities and politicians finally opened its first public hearing on monday after a sleuth of problems that led to three chairmen quitting in the three years since its launch","http://feeds.reuters.com/~r/reuters/UKDomesticNews/~3/iogC6C77zpw/uk-britain-abuse-inquiry-idUKKBN1661AY","ReutersUK",332
22,1488198069,"considers making electric mini outside uk","move to quit eu sparks uncertainty over where to manufacture battery driven car","http://www.ft.com/cms/s/0/a9ecd5aa-fcdb-11e6-8d8e-a5e3738f9ae4.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct","FTUK",333
